D17,J23-172,-33.9018939,120.1449917,S,6/05/2021
E18,J23-162,-33.8340784,121.8848273,S,7/05/2021
F19,J23-164,-33.75090295,121.85273,S,8/05/2021
G20,J23-163,-33.5817792,120.0267053,E,9/05/2021
A15,J23-184,-33.8042814,122.1279612,M,10/05/2021
B16,J23-085,-33.8371813,121.9155916,A,11/05/2021
C17,J24-021,-33.4178973,121.6147232,H1,12/05/2021
D18,J24-020,-33.49061797,122.1089784,S,13/05/2021
E19,J24-028,-33.8546445,121.7578875,S,14/05/2021
F20,J24-036,-33.8588183,121.8803488,A,15/05/2021
G21,J24-003,-33.8579924,121.894012,S,16/05/2021
A16,J24-050,-33.741428,122.007613,M,17/05/2021
B17,J24-051,-33.823946,122.129994,H1,18/05/2021
C18,J23-152,-33.6274467,122.2324873,S,19/05/2021
D19,J24-035,-33.8737975,121.8899106,A,20/05/2021
E20,J24-045,-33.8687903,121.8913372,A,21/05/2021
F21,J24-046,-33.8664463,121.8912614,A,22/05/2021
G22,J24-049,-33.8286954,121.912379,S,23/05/2021
A17,J24-034,-33.837661,121.9002396,A,24/05/2021
B18,J23-053,-33.8159646,121.9344781,A,25/05/2021
C19,J24-069,-33.87070244,121.8855268,S,26/05/2021
D20,J24-079,-33.82969435,121.9092662,S,27/05/2021
E21,J24-080,-33.894582,120.134747,M,28/05/2021
F22,J24-083,-33.2331838,121.7666549,H1,29/05/2021
G23,J24-086,-33.874141,121.875282,S,30/05/2021
A18,J24-090,-33.75903206,121.855546,M,31/05/2021
B19,J24-094,-33.8464893,121.7940424,S,1/06/2021
C20,J24-095,-33.8464893,121.7940424,S,2/06/2021
D21,J24-105,-33.87000932,121.8141903,S,3/06/2021
E22,J24-114,-33.83470947,121.8965099,S,4/06/2021
F23,J24-124,-33.8739574,121.8801543,A,5/06/2021
G24,J24-148,-33.22788916,121.7156232,H1,6/06/2021
A19,J24-154,-33.8269896,121.8116889,A,7/06/2021
B20,J25-012,-33.83015861,121.9168229,S,8/06/2021
C21,J24-207,-33.866599,121.880969,S,9/06/2021
D22,J24-187,-33.65329,121.80779,S,10/06/2021
E23,J24-196,-33.83787,121.91334,S,11/06/2021
F24,J24-189,-33.76129,121.8409,S,12/06/2021
G25,J24-192,-33.875519,121.8819553,A,13/06/2021
A20,J24-188,-33.85570541,121.8600882,A,14/06/2021
B21,J24-179,-33.84149939,121.897103,S,15/06/2021
C22,J24-169,-33.8319754,121.8935441,S,16/06/2021
D23,J24-168,-33.42766,121.91407,M,17/06/2021
E24,J24-152,-33.8490446,121.8796586,A,18/06/2021
F25,J24-197,-33.78418,122.02563,S,19/06/2021
G26,J24-162,-33.8556577,121.7557799,S,20/06/2021
A21,J24-144,-33.85778617,121.8963417,P,21/06/2021
B22,J24-139,-33.83481848,121.9136145,A,22/06/2021
C23,J24-134,-33.869696,121.792921,S,23/06/2021
D24,J24-130,-33.8435785,121.8863586,A,24/06/2021
E25,J24-078,-33.6573501,121.8282756,S,25/06/2021
F26,J24-060,-33.840902,121.8882989,A,26/06/2021
